from	to	receiver	donor	Smetana score	node attribution	EdgeBetweenness
83	74	Dorea_formicigenerans_ATCC_27755	Roseburia_hominis_A2_183	1.292553	orange	2
83	73	Dorea_formicigenerans_ATCC_27755	Roseburia_inulinivorans_DSM_16841	1.225532	orange	2
83	72	Dorea_formicigenerans_ATCC_27755	Ruminococcus_torques_ATCC_27756	1.237021	orange	2
82	86	Dorea_longicatena_DSM_13814	Alistipes_finegoldii_DSM_17242	0.064615	orange	2
82	85	Dorea_longicatena_DSM_13814	Alistipes_putredinis_DSM_17216	0.145385	orange	2
82	84	Dorea_longicatena_DSM_13814	Blautia_obeum_ATCC_29174	0.216923	orange	2
82	83	Dorea_longicatena_DSM_13814	Dorea_formicigenerans_ATCC_27755	0.095385	orange	2
82	82	Dorea_longicatena_DSM_13814	Eubacterium_eligens_ATCC_27750	4.060000	orange	2
82	81	Dorea_longicatena_DSM_13814	Eubacterium_rectale_ATCC_33656	0.126154	orange	2
82	79	Dorea_longicatena_DSM_13814	Eubacterium_ventriosum_ATCC_27560	0.115385	orange	2
82	78	Dorea_longicatena_DSM_13814	Odoribacter_splanchnicus_1651_6_DSM_20712	3.050000	orange	2
82	77	Dorea_longicatena_DSM_13814	Parabacteroides_distasonis_ATCC_8503	0.106154	orange	2
82	76	Dorea_longicatena_DSM_13814	Parabacteroides_merdae_ATCC_43184	0.129231	orange	2
82	75	Dorea_longicatena_DSM_13814	Roseburia_faecis_M72	0.036154	orange	2
82	74	Dorea_longicatena_DSM_13814	Roseburia_hominis_A2_183	0.240769	orange	2
82	73	Dorea_longicatena_DSM_13814	Roseburia_inulinivorans_DSM_16841	0.176154	orange	2
82	72	Dorea_longicatena_DSM_13814	Ruminococcus_torques_ATCC_27756	0.214615	orange	2
81	86	Eubacterium_eligens_ATCC_27750	Alistipes_finegoldii_DSM_17242	0.346667	orange	2
81	85	Eubacterium_eligens_ATCC_27750	Alistipes_putredinis_DSM_17216	0.156333	orange	2
81	84	Eubacterium_eligens_ATCC_27750	Blautia_obeum_ATCC_29174	0.259000	orange	2
81	83	Eubacterium_eligens_ATCC_27750	Dorea_formicigenerans_ATCC_27755	0.078000	orange	2
81	82	Eubacterium_eligens_ATCC_27750	Dorea_longicatena_DSM_13814	0.086000	orange	2
81	80	Eubacterium_eligens_ATCC_27750	Eubacterium_rectale_ATCC_33656	2.090000	orange	2
81	79	Eubacterium_eligens_ATCC_27750	Eubacterium_ventriosum_ATCC_27560	0.141000	orange	2
81	78	Eubacterium_eligens_ATCC_27750	Odoribacter_splanchnicus_1651_6_DSM_20712	0.528667	orange	2
81	77	Eubacterium_eligens_ATCC_27750	Parabacteroides_distasonis_ATCC_8503	0.070000	orange	2
81	76	Eubacterium_eligens_ATCC_27750	Parabacteroides_merdae_ATCC_43184	0.096000	orange	2
81	75	Eubacterium_eligens_ATCC_27750	Roseburia_faecis_M72	0.061333	orange	2
81	74	Eubacterium_eligens_ATCC_27750	Roseburia_hominis_A2_183	0.178000	orange	2
81	73	Eubacterium_eligens_ATCC_27750	Roseburia_inulinivorans_DSM_16841	0.104667	orange	2
81	72	Eubacterium_eligens_ATCC_27750	Ruminococcus_torques_ATCC_27756	0.175333	orange	2
80	86	Eubacterium_rectale_ATCC_33656	Alistipes_finegoldii_DSM_17242	0.600000	orange	2
80	85	Eubacterium_rectale_ATCC_33656	Alistipes_putredinis_DSM_17216	0.455600	orange	2
80	84	Eubacterium_rectale_ATCC_33656	Blautia_obeum_ATCC_29174	0.600600	orange	2
80	83	Eubacterium_rectale_ATCC_33656	Dorea_formicigenerans_ATCC_27755	0.603000	orange	2
80	82	Eubacterium_rectale_ATCC_33656	Dorea_longicatena_DSM_13814	0.250800	orange	2
80	81	Eubacterium_rectale_ATCC_33656	Eubacterium_eligens_ATCC_27750	7.280000	orange	2
80	79	Eubacterium_rectale_ATCC_33656	Eubacterium_ventriosum_ATCC_27560	0.858000	orange	2
80	78	Eubacterium_rectale_ATCC_33656	Odoribacter_splanchnicus_1651_6_DSM_20712	1.088000	orange	2
80	77	Eubacterium_rectale_ATCC_33656	Parabacteroides_distasonis_ATCC_8503	0.713000	orange	2
80	76	Eubacterium_rectale_ATCC_33656	Parabacteroides_merdae_ATCC_43184	0.667800	orange	2
80	75	Eubacterium_rectale_ATCC_33656	Roseburia_faecis_M72	0.217800	orange	2
80	74	Eubacterium_rectale_ATCC_33656	Roseburia_hominis_A2_183	0.342400	orange	2
80	73	Eubacterium_rectale_ATCC_33656	Roseburia_inulinivorans_DSM_16841	0.166200	orange	2
80	72	Eubacterium_rectale_ATCC_33656	Ruminococcus_torques_ATCC_27756	1.260900	orange	2
79	86	Eubacterium_ventriosum_ATCC_27560	Alistipes_finegoldii_DSM_17242	0.401400	orange	2
79	85	Eubacterium_ventriosum_ATCC_27560	Alistipes_putredinis_DSM_17216	0.425600	orange	2
79	84	Eubacterium_ventriosum_ATCC_27560	Blautia_obeum_ATCC_29174	1.831500	orange	2
79	83	Eubacterium_ventriosum_ATCC_27560	Dorea_formicigenerans_ATCC_27755	0.328700	orange	2
79	82	Eubacterium_ventriosum_ATCC_27560	Dorea_longicatena_DSM_13814	0.340100	orange	2
79	81	Eubacterium_ventriosum_ATCC_27560	Eubacterium_eligens_ATCC_27750	5.690000	orange	2
79	80	Eubacterium_ventriosum_ATCC_27560	Eubacterium_rectale_ATCC_33656	3.730000	orange	2
79	78	Eubacterium_ventriosum_ATCC_27560	Odoribacter_splanchnicus_1651_6_DSM_20712	3.310000	orange	2
79	77	Eubacterium_ventriosum_ATCC_27560	Parabacteroides_distasonis_ATCC_8503	0.157700	orange	2
79	76	Eubacterium_ventriosum_ATCC_27560	Parabacteroides_merdae_ATCC_43184	0.323000	orange	2
79	75	Eubacterium_ventriosum_ATCC_27560	Roseburia_faecis_M72	0.307800	orange	2
